id,chinese_name,english_name,quality_after,primary_source,secondary_source,work_or_context_source,evidence_note
P001,杰弗里·辛顿,Geoffrey Hinton,A,https://www.cs.toronto.edu/~hinton/,https://awards.acm.org/about/2018-turing,,official homepage plus ACM Turing Award source
P002,杨立昆,Yann LeCun,A,http://yann.lecun.com,https://awards.acm.org/about/2018-turing,,official homepage plus ACM Turing Award source
P003,约书亚·本吉奥,Yoshua Bengio,A,https://yoshuabengio.org,https://awards.acm.org/about/2018-turing,,official homepage plus ACM Turing Award source
P004,杰夫·迪恩,Jeff Dean,A,https://research.google/people/jeff/,https://research.google/teams/brain/,,Google Research profile and Google Brain context
P005,伊利亚·苏茨克弗,Ilya Sutskever,B,https://openai.com/index/introducing-superalignment/,https://ssi.inc,,OpenAI official role evidence plus SSI official site
P006,德米斯·哈萨比斯,Demis Hassabis,A,https://deepmind.google/about,https://www.nobelprize.org/prizes/chemistry/2024/press-release/,,DeepMind official leadership plus Nobel source
P007,山姆·奥特曼,Sam Altman,A,https://blog.samaltman.com,https://openai.com/index/sam-altman-returns-as-ceo-openai-has-a-new-initial-board/,,personal blog plus OpenAI official governance source
P008,达里奥·阿莫迪,Dario Amodei,B,https://www.anthropic.com/company,https://digitaleconomy.stanford.edu/people/dario-amodei/,https://www.judiciary.senate.gov/imo/media/doc/2023-07-26_-_testimony_-_amodei.pdf,Anthropic company context plus Stanford profile and Senate testimony
P009,安德烈·卡帕西,Andrej Karpathy,A,https://karpathy.ai,https://github.com/karpathy,,personal site plus GitHub work trace
P010,克里斯·奥拉,Chris Olah,A,https://colah.github.io,https://distill.pub/about/,https://transformer-circuits.pub/,personal site and technical explanation corpus
P011,吴恩达,Andrew Ng,A,https://www.andrewng.org,https://www.deeplearning.ai/about/,https://about.coursera.org/leadership,personal site plus DeepLearning.AI and Coursera leadership
P012,李飞飞,Fei-Fei Li,A,https://profiles.stanford.edu/fei-fei-li,https://hai.stanford.edu/people/fei-fei-li,,Stanford profile plus Stanford HAI role
P013,黄学东,Xuedong Huang,B,https://www.zoom.com/en/about/team/,https://www.zoom.com/en/blog/zoom-federated-ai-maximizes-performance-quality-affordability/,https://www.microsoft.com/en-us/research/?p=586960,Zoom leadership source plus AI product and Microsoft Research context
P014,沈向洋,Harry Shum,B,https://www.microsoft.com/en-us/research/people/hshum/,https://hkust.edu.hk/news/hkust-welcomes-reappointment-prof-harry-shum-council-chairman,https://blogs.microsoft.com/blog/2016/09/29/microsoft-creates-new-ai-research-group/,Microsoft Research profile plus HKUST governance source
P015,周志华,Zhi-Hua Zhou,A,https://cs.nju.edu.cn/zhouzh/index.htm,https://cs.nju.edu.cn/zhouzh/zhouzh.files/publication/,,official Nanjing University homepage and publication corpus
P016,朱军,Jun Zhu,A,https://ml.cs.tsinghua.edu.cn/~jun/,https://air.tsinghua.edu.cn/en/info/1045/1105.htm,,official Tsinghua homepage plus institutional context
P017,汤晓鸥,Xiaoou Tang,B,https://www.ie.cuhk.edu.hk/an-ai-pioneers-unbreakable-bond-with-cuhk/,https://www.sensetime.com/en/news-detail/51167923,,CUHK memorial/context plus SenseTime source
P018,张钹,Zhang Bo,B,https://www.cs.tsinghua.edu.cn/csen/info/1154/3901.htm,https://collegeai.tsinghua.edu.cn/en/People.htm,,Tsinghua department profile plus AI college people page
P019,高文,Wen Gao,B,https://cfcs.pku.edu.cn/english/people/directors/wengao/index.htm,https://idm.pku.edu.cn/en/info/1009/1023.htm,,Peking University CFCS and NERCVT profiles
P020,梁文锋,Wenfeng Liang,B,https://www.deepseek.com,https://time.com/collections/time100-ai-2025/7298021/liang-wenfeng/,,DeepSeek official context plus TIME profile
P021,杨植麟,Yang Zhilin,B,https://www.moonshot.ai/about,https://www.scmp.com/tech/big-tech/article/3273461/meet-yang-zhilin-moonshot-ai-founder-builds-business-mould-bytedance-openai,https://github.com/MoonshotAI,Moonshot official source plus founder profile and project trace
P022,王慧文,Wang Huiwen,B,https://about.meituan.com/en/board-directors,https://technode.com/2024/04/03/light-year-founder-wang-huiwen-returns-to-meituan-as-part-time-consultant/,,Meituan official role plus Light Year context
P023,王小川,Wang Xiaochuan,B,https://www.baichuan-ai.com,https://time.com/7012775/wang-xiaochuan/,https://github.com/baichuan-inc,Baichuan official source plus TIME profile and model repository
P024,李开复,Kai-Fu Lee,A,https://www.sinovationventures.com,https://www.01.ai,https://time.com/6310603/kai-fu-lee/,Sinovation and 01.AI official sources plus TIME profile
P025,斯图尔特·罗素,Stuart Russell,A,https://people.eecs.berkeley.edu/~russell/,https://people.eecs.berkeley.edu/~russell/ai.html,https://people.eecs.berkeley.edu/~russell/papers/russell-senate23b-statement.pdf,Berkeley official homepage plus AI textbook/work and public testimony
P026,尼克·博斯特罗姆,Nick Bostrom,B,https://nickbostrom.com,https://www.oxfordmartin.ox.ac.uk/people/nick-bostrom,,personal site plus Oxford Martin source
P027,保罗·克里斯蒂安诺,Paul Christiano,B,https://www.nist.gov/people/paul-christiano,https://www.alignment.org,https://www.nist.gov/news-events/news/2024/04/us-commerce-secretary-gina-raimondo-announces-expansion-us-ai-safety,NIST official profile plus Alignment Research Center source
P028,理查德·萨顿,Richard Sutton,A,http://incompleteideas.net,https://awards.acm.org/about/2024-turing,https://incompleteideas.net/book/the-book-2nd.html,official homepage plus ACM Turing Award and RL book
P029,伊恩·古德费洛,Ian Goodfellow,A,https://www.iangoodfellow.com,https://github.com/goodfeli,https://papers.nips.cc/paper_files/paper/2014/hash/f033ed80deb0234979a61f95710dbe25-Abstract.html,personal site plus GitHub and GAN paper source
P030,艾丹·戈麦斯,Aidan Gomez,B,https://cohere.com/research,https://www.cohere.com/newsroom,https://arxiv.org/abs/1706.03762,Cohere official research/news plus Transformer paper
P031,刘铁岩,Tie-Yan Liu,B,https://www.microsoft.com/en-us/research/people/tyliu/,https://www.ams.org.cn/EN/10.16383/j.aas.c220564,,Microsoft Research profile plus academic publication context
P032,张林峰,Linfeng Zhang,A,https://www.dp.tech,https://www.aissquare.com/en,https://github.com/deepmodeling,DP Technology official source plus AI for Science platform and DeepModeling work
P033,鄂维南,Weinan E,A,https://web.math.princeton.edu/~weinan/,https://cfcs.pku.edu.cn/english/people/directors/weinan/index.htm,https://deeppotential.com,Princeton homepage plus PKU profile and Deep Potential context
P034,唐杰,Jie Tang,A,http://keg.cs.tsinghua.edu.cn/jietang/,https://github.com/THUDM,https://www.zhipuai.cn,official Tsinghua homepage plus THUDM and Zhipu sources
P035,雷军,Lei Jun,B,https://www.mi.com/global/about/leadership,https://www.mi.com/global/discover/article?id=3072,,Xiaomi official leadership and EV/intelligent product context
P036,张鹏,Peng Zhang,B,https://www.zhipuai.cn,https://z.ai,https://github.com/THUDM,Zhipu/Z.ai official context plus THUDM work trace
P037,闫俊杰,Junjie Yan,B,https://ir.minimax.io/corporate-information/management,https://www.minimax.io/en/about,https://github.com/MiniMax-AI,MiniMax IR management source plus official company and project source
P038,姜大昕,Daxin Jiang,B,https://www.stepfun.com,https://www.stepfun.ai,https://github.com/stepfun-ai,StepFun official sources plus project repository
P039,印奇,Qi Yin,B,https://en.megvii.com/about_megvii,https://www.megvii.com,https://www.globenewswire.com/news-release/2018/07/03/1532825/0/en/Megvii-s-Yin-Qi-Named-To-MIT-Technology-Review-s-2018-Innovators-Under-35-List.html,Megvii official sources plus MIT TR award release
P040,余凯,Kai Yu,B,https://www.horizon.cc/en/about,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0421/2025042100203.pdf,,Horizon official/about source plus HKEX annual report
P041,朱珑,Leon Zhu,B,https://www.yitutech.com/en/about-us,https://www.yitutech.com/en/news,,YITU official about and news sources
P042,陈天石,Tianshi Chen,B,https://novel.ict.ac.cn/tchen/,https://www.cambricon.com,https://www.cambricon.com/en/,official ICT profile plus Cambricon official context
P043,王兴兴,Xingxing Wang,B,https://www.unitree.com,https://www.unitree-robot.com/shop/pages/about-us,https://github.com/unitreerobotics,Unitree official site plus company history and project repository
P044,张一鸣,Zhang Yiming,B,https://www.bytedance.com/en/about,https://www.volcengine.com/product/doubao,https://www.bytedance.com/en/news,ByteDance official source plus Doubao/Volcengine product context
P045,周靖人,Jingren Zhou,B,https://qwen.ai,https://github.com/QwenLM,https://www.alibabacloud.com/help/en/model-studio/,Qwen official model source plus GitHub and Alibaba Cloud model docs
P046,王海峰,Haifeng Wang,B,https://ir.baidu.com/management/haifeng-wang,https://haifengwang.net/,https://github.com/PaddlePaddle/ERNIE,Baidu IR profile plus personal homepage and ERNIE work trace
P047,田奇,Qi Tian,A,https://www.qitian1987.com/index.html,https://www.huaweicloud.com/intl/en-us/product/pangu.html,https://www.nature.com/articles/s41586-023-06185-3,personal homepage plus Huawei Pangu and Nature Pangu-Weather paper
P048,张正友,Zhengyou Zhang,B,https://www.microsoft.com/en-us/research/people/zhang/,https://openreview.net/profile?id=~Zhengyou_Zhang2,https://robotics.tencent.com,Tencent Robotics X/OpenReview role plus Microsoft Research profile
P049,何恺明,Kaiming He,A,http://kaiminghe.com,https://www.eecs.mit.edu/people/kaiming-he/,https://github.com/facebookresearch/segment-anything,personal site plus MIT profile and major project context
P050,谢赛宁,Saining Xie,A,https://www.sainingxie.com,https://cds.nyu.edu/team/saining-xie/,https://github.com/facebookresearch/DiT,personal site plus NYU profile and DiT project
P051,张祥雨,Xiangyu Zhang,B,https://www.stepfun.com,https://github.com/stepfun-ai,https://arxiv.org/abs/1512.03385,StepFun context plus project repository and ResNet paper
P052,朱松纯,Song-Chun Zhu,A,http://www.stat.ucla.edu/~sczhu/,https://www.bigai.ai,https://www.ioa.pku.edu.cn/en/info/1056/1073.htm,UCLA homepage plus BIGAI and PKU context
P053,张亚勤,Ya-Qin Zhang,A,https://air.tsinghua.edu.cn/en/info/1044/1172.htm,https://air.tsinghua.edu.cn/en/info/1001/1139.htm,https://air.tsinghua.edu.cn/en/info/1007/1923.htm,Tsinghua AIR profile plus AI Science speeches
P054,黄铁军,Tiejun Huang,B,https://english.pku.edu.cn/news_events/news/focus/7755.html,https://www.baai.ac.cn,https://github.com/BAAI-Agents,PKU official BAAI dean source plus BAAI context
P055,林达华,Dahua Lin,A,http://dahua.site,https://www.shlab.org.cn,https://github.com/InternLM,personal site plus Shanghai AI Lab and InternLM trace
