id,chinese_name,english_name,category,affiliation,wikipedia_title,semantic_scholar_id,arxiv_query,github_username,personal_url,notes
P001,杰弗里·辛顿,Geoffrey Hinton,学术认证,University of Toronto,Geoffrey_Hinton,1696030,Geoffrey+Hinton,,https://www.cs.toronto.edu/~hinton/,Turing Award 2018
P002,杨立昆,Yann LeCun,学术认证,Meta AI / NYU,Yann_LeCun,1709807,Yann+LeCun,ylecun,http://yann.lecun.com,Turing Award 2018
P003,约书亚·本吉奥,Yoshua Bengio,学术认证,U Montreal / Mila,Yoshua_Bengio,1751762,Yoshua+Bengio,,https://yoshuabengio.org,Turing Award 2018
P004,杰夫·迪恩,Jeff Dean,工业领军,Google DeepMind,Jeff_Dean,1736730,,jeffdean,,Google Senior Fellow
P005,伊利亚·苏茨克弗,Ilya Sutskever,工业领军,SSI (former OpenAI),Ilya_Sutskever,1712830,Ilya+Sutskever,,,co-founder OpenAI
P006,德米斯·哈萨比斯,Demis Hassabis,创业领军,Google DeepMind,Demis_Hassabis,2056439,Demis+Hassabis,,,DeepMind co-founder
P007,山姆·奥特曼,Sam Altman,创业领军,OpenAI,Sam_Altman,,,sama,https://blog.samaltman.com,
P008,达里奥·阿莫迪,Dario Amodei,创业领军,Anthropic,Dario_Amodei,40348803,Dario+Amodei,,,Anthropic CEO
P009,安德烈·卡帕西,Andrej Karpathy,跨界教育,formerly OpenAI/Tesla,Andrej_Karpathy,1741101,Andrej+Karpathy,karpathy,https://karpathy.ai,
P010,克里斯·奥拉,Chris Olah,理论解释影响力,Anthropic,,1741145,Christopher+Olah,colah,https://colah.github.io,
P011,吴恩达,Andrew Ng,跨界教育,Stanford / DeepLearning.AI,Andrew_Ng,1737417,Andrew+Ng,andrewyng,https://www.andrewng.org,
P012,李飞飞,Fei-Fei Li,学术认证,Stanford,Fei-Fei_Li,1722373,Fei-Fei+Li,,https://profiles.stanford.edu/fei-fei-li,
P013,黄学东,Xuedong Huang,工业领军,Zoom (former MS),Xuedong_Huang,1702800,,,,
P014,沈向洋,Harry Shum,工业领军,Tsinghua / formerly MS,Harry_Shum,1700175,Heung-Yeung+Shum,,,
P015,周志华,Zhi-Hua Zhou,中国本土,Nanjing University,Zhou_Zhihua,1722398,Zhi-Hua+Zhou,,https://cs.nju.edu.cn/zhouzh/,
P016,朱军,Jun Zhu,中国本土,Tsinghua University,,1730893,Jun+Zhu,,https://ml.cs.tsinghua.edu.cn/~jun/,
P017,汤晓鸥,Xiaoou Tang,中国本土,SenseTime / CUHK,Tang_Xiao'ou,1719831,Xiaoou+Tang,,,SenseTime founder
P018,张钹,Zhang Bo,中国本土,Tsinghua University,,1714069,Bo+Zhang,,,Academician CAE
P019,高文,Wen Gao,中国本土,Peking University,Wen_Gao_(computer_scientist),,Wen+Gao,,,Academician CAE
P020,梁文锋,Wenfeng Liang,创业领军,DeepSeek,Liang_Wenfeng,,,,,DeepSeek 创始人
P021,杨植麟,Yang Zhilin,创业领军,Moonshot AI,,2117379,Zhilin+Yang,,,Moonshot/Kimi 创始人
P022,王慧文,Wang Huiwen,创业领军,Light Years (former),,,,,,
P023,王小川,Wang Xiaochuan,创业领军,Baichuan AI,,,,,,
P024,李开复,Kai-Fu Lee,创业领军,Sinovation / 01.AI,Kai-Fu_Lee,1730635,Kai-Fu+Lee,,,
P025,斯图尔特·罗素,Stuart Russell,AI安全治理,UC Berkeley,Stuart_J._Russell,1747585,Stuart+Russell,,,
P026,尼克·博斯特罗姆,Nick Bostrom,AI安全治理,Oxford FHI (former),Nick_Bostrom,1747830,,,https://nickbostrom.com,
P027,保罗·克里斯蒂安诺,Paul Christiano,AI安全治理,US AI Safety Institute,Paul_Christiano_(researcher),1709970,Paul+Christiano,,,
P028,理查德·萨顿,Richard Sutton,深度反共识长期型,U Alberta,Richard_S._Sutton,1718017,Richard+Sutton,,http://incompleteideas.net,Turing Award 2024
P029,伊恩·古德费洛,Ian Goodfellow,工业领军,DeepMind,Ian_Goodfellow,1707828,Ian+Goodfellow,goodfeli,,GAN inventor
P030,艾丹·戈麦斯,Aidan Gomez,创业领军,Cohere,,2099574,Aidan+Gomez,aidangomez,,Transformer 共同作者
P031,刘铁岩,Tie-Yan Liu,中国本土,中关村学院 / 前 MSRA,,1736716,Tie-Yan+Liu,,,前微软亚研院副院长
P032,张林峰,Linfeng Zhang,创业领军,深势科技 (DP Technology),,,Linfeng+Zhang,,https://dp.tech,AI for Science 代表
P033,鄂维南,Weinan E,学术认证,北京大学 / 普林斯顿,Weinan_E,,Weinan+E,,,中科院院士；AI for Science 推动者
P034,唐杰,Jie Tang,中国本土,清华大学 / 智谱 AI,Tang_Jie,1737105,Jie+Tang,THUDM,http://keg.cs.tsinghua.edu.cn/jietang/,GLM/CogView 主要负责人；智谱董事长
P035,雷军,Lei Jun,创业领军,小米 / 金山,Lei_Jun,,,,,小米 SU7 智能驾驶；非纯 AI 技术研究但纳入产业代表
P036,张鹏,Peng Zhang,创业领军,智谱 AI,,,,,,智谱 CEO；GLM 负责人之一
P037,闫俊杰,Junjie Yan,创业领军,MiniMax,,2987456,Junjie+Yan,,,MiniMax 创始人 CEO；前商汤
P038,姜大昕,Daxin Jiang,创业领军,阶跃星辰 (StepFun),,1720573,Daxin+Jiang,,,阶跃星辰 CEO；前微软首席科学家
P039,印奇,Qi Yin,创业领军,旷视 Megvii,,,Qi+Yin,,,旷视 CEO；姚班
P040,余凯,Kai Yu,创业领军,地平线 Horizon Robotics,,1716525,Kai+Yu,,,地平线 CEO；前百度 IDL
P041,朱珑,Leon Zhu,创业领军,依图 Yitu,,,Long+Zhu,,,依图创始人
P042,陈天石,Tianshi Chen,创业领军,寒武纪 Cambricon,,1717466,Tianshi+Chen,,,寒武纪联合创始人；芯片方向
P043,王兴兴,Xingxing Wang,创业领军,宇树 Unitree,,,,,,具身智能/人形机器人代表
P044,张一鸣,Zhang Yiming,创业领军,字节跳动,Zhang_Yiming,,,,,ByteDance 创始人；豆包大模型
P045,周靖人,Jingren Zhou,工业领军,阿里巴巴 / 通义实验室,,1690720,Jingren+Zhou,,,阿里 CTO；通义负责人
P046,王海峰,Haifeng Wang,工业领军,百度,,1745462,Haifeng+Wang,,,百度 CTO；文心一言负责人
P047,田奇,Qi Tian,工业领军,华为 / 前 UTSA,,1707728,Qi+Tian,,,华为云首席科学家；盘古大模型
P048,张正友,Zhengyou Zhang,工业领军,腾讯 / Robotics X,,1683756,Zhengyou+Zhang,,,腾讯首席科学家；Robotics X
P049,何恺明,Kaiming He,学术认证,MIT / 前 Meta AI,Kaiming_He,1681089,Kaiming+He,KaimingHe,http://kaiminghe.com,ResNet / Mask R-CNN 一作
P050,谢赛宁,Saining Xie,学术认证,NYU,,2113068,Saining+Xie,sainingxie,https://www.sainingxie.com,ResNeXt / SiT
P051,张祥雨,Xiangyu Zhang,学术认证,阶跃星辰 / 前旷视,,1735876,Xiangyu+Zhang,,,ResNet 共同作者
P052,朱松纯,Song-Chun Zhu,学术认证,北京通用人工智能研究院 (BIGAI) / 前 UCLA,Song-Chun_Zhu,1747614,Song-Chun+Zhu,,http://www.stat.ucla.edu/~sczhu/,通用人工智能方向
P053,张亚勤,Ya-Qin Zhang,中国本土,清华大学 AIR / 前微软 / 前百度,Ya-Qin_Zhang,1736537,Ya-Qin+Zhang,,,清华智能产业研究院院长
P054,黄铁军,Tiejun Huang,中国本土,北京智源 / 北大,,1747894,Tiejun+Huang,,,智源研究院院长
P055,林达华,Dahua Lin,中国本土,上海 AI Lab / 港中文,,1689923,Dahua+Lin,lindahua,http://dahua.site,InternLM 负责人之一
P056,贾佳亚,Jiaya Jia,中国本土,思谋科技 SmartMore / 港中文,Jiaya_Jia,1750000,Jiaya+Jia,,http://jiaya.me,思谋创始人
P057,颜水成,Shuicheng Yan,学术认证,昆仑万维 / 前 Sea Group / 前 NUS,,1721080,Shuicheng+Yan,,,Skywork 大模型
P058,刘知远,Zhiyuan Liu,中国本土,清华大学 NLP,,1745562,Zhiyuan+Liu,,http://nlp.csai.tsinghua.edu.cn/~lzy/,OpenBMB / 面壁智能
P059,孙茂松,Maosong Sun,中国本土,清华大学 NLP,,1700057,Maosong+Sun,,,清华 NLP 实验室创始人
P060,李航,Hang Li,工业领军,字节跳动 AI Lab / 前华为诺亚,,1731030,Hang+Li,,,《统计学习方法》作者
